"title","authors","issue","abstract"
"人因学发展的新取向","许为(),葛列众","2018 Vol. 26 Issue (9)  1521-1534<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01521","当前新技术、人机交互的新特征、社会和人的新需求给中国人因学(Human Factors)的进一步发展创造了一个有利时机。本文首先讨论和分析了一些具有代表性的开拓了人因学科研究深度和广度的新技术和新途径, 包括神经人因学, 认知工程, 协同认知系统, 社会技术系统; 以及人因学科应用中的一些挑战和策略。然后, 就进一步发展我国的人因学科, 本文提出首先要解决的问题是建立多学科交叉的人因学科的科研教育体制, 并在此基础上, 注重理论创新, 以创新设计为突破点, 在智能系统、用户体验、航天航空和医疗健康等领域中优先发展和应用。当前迫切需要解决的是, 建立完善的人因学科高校教育体系, 建立完善的人因学科多学科交叉的科研体系, 以及建立人因学科行业资质标准和设计标准体系。"
"汉语言语产生的语音加工单元——基于音位的研究","屈青青(),刘维琳,李兴珊","2018 Vol. 26 Issue (9)  1535-1544<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01535","言语产生的语音加工单元具有跨语言的特异性。在印欧语言中, 音位是语音加工的重要功能单元。音位指具体语言中能够区别意义的最小语音单位, 如“big”包含三个音位/b/, /i/, /g/。目前, 在汉语言语产生中, 对音位的研究较少。本项目拟采用事件相关电位技术, 对汉语言语产生中的音位加工进行探讨, 试图考察：在汉语言语产生中, 1)音位加工的心理现实性, 以及音位表征是否受第二语言、汉语拼音习得、拼音使用经验的影响?2)音位的加工机制是怎样的?具体而言, 音位加工的特异性、位置编码、组合方式、时间进程是怎样的?对这些问题的回答, 将有助于深化对汉语言语产生的认识, 为建立汉语言语产生计算模型提供基础; 为比较印欧语言与汉语在机制上的异同提供基础; 为制定汉语语音教育教学方法提供心理学依据。"
"为他人做决策：多维度心理机制与决策体验","陆静怡(),尚雪松","2018 Vol. 26 Issue (9)  1545-1552<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.0545","在管理咨询、代理投资等行业, 甚至是日常生活中, 人们都不可避免地需要为他人做决策。因此, 探讨为他人决策者的决策规律逐渐成为研究热点。然而, 现有研究多关注为他人决策者的个人心理机制, 忽视了人际心理机制; 多关注决策结果, 忽略了决策体验。本项目拟探索(1)为他人决策者的个人与人际心理机制; (2)为他人决策者的决策体验的规律, 以及这些规律如何受多维度心理机制的影响; (3)为他人决策者的个体差异如何影响多维度心理机制与决策体验。最终希望构建一个完整的关于为他人决策者的多维度心理机制与决策体验的理论模型。"
"中国跨国公司外派人员多目标主动行为的前因与后果——挑战性-阻碍性压力视角","刘燕,李锐()","2018 Vol. 26 Issue (9)  1553-1566<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.0553","传统研究强调跨文化多重压力阻碍外派成功, 但相对忽视压力具备的动力作用。该研究基于挑战性-阻碍性压力视角, 遵循“压力-动机-行为-结果”的逻辑框架, 对中国跨国公司外派人员多目标主动行为及结果的产生机制展开研究。依据自我决定理论分析挑战性-阻碍性两种不同属性压力如何通过影响动机和主动行为进而影响外派人员的职业发展、工作绩效及组织绩效的过程, 并根据工作要求-控制模型, 从组织和工作资源两方面识别两种压力影响外派结果的边界条件, 以及跨文化背景下主动行为发挥作用的边界条件。该研究揭示外派主动动机及行为在高不确定性跨文化背景下的价值功效, 可以为中国跨国公司挑选、培训、激励和保留国际化人才提供实践的参考。"
"人脑自适应多尺度功能连接的性别差异","段凯凯1,董昊铭2,3,4,5,苗丽雯1,苏学权6,7,相洁1,**(),左西年2,3,4,5,7,*()","2018 Vol. 26 Issue (9)  1567-1575<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.0567","已有脑成像研究展示了男女脑功能差异, 但功能磁共振信号的频率划分通常基于主观经验, 使脑功能性别差异的生物学解释遭遇瓶颈。本文提出人脑自适应多尺度功能连接算法, 刻画功能连接的时空多尺度特性, 揭示出0.06~0.10 Hz的性别差异：男性较强的连接主要与边缘网络和腹侧注意网络有关, 女性较强的连接主要与腹侧注意网络、视觉网络和额顶网络有关。"
"数学能力的改善：针对工作记忆训练的元分析","郭丽月,严超(),邓赐平()","2018 Vol. 26 Issue (9)  1576-1589<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01576","工作记忆训练指针对工作记忆各成分进行的训练, 以实现个体记忆与其他认知能力的提升。该领域一直都是研究者关注的热点, 越来越多的研究正在试图利用工作记忆训练改善个体的数学能力。然而回顾过往的研究, 发现研究所关注的数学能力类型、针对的被试人群、使用的方法、结论等存在较大差异, 目前尚没有系统性综述专门探讨工作记忆训练对数学能力的影响。因此, 本文首先回顾和数学能力有关的工作记忆训练方式, 然后结合元分析, 从数感、运算能力和数学推理能力三个方面, 分别回顾归纳工作记忆训练对数学能力的提升作用。具体而言, 尽管研究数量相对有限, 工作记忆训练可能有效改善数感, 其效应量为中等(Cohen’s d = 0.51); 而可能无法有效改善运算和数学推理能力, 它们的效应量小(运算：Cohen’s d = 0.04; 数学推理：Cohen’s d = -0.06)。此外, 训练目标类型与训练效果有着密切的联系。"
"依恋视角下自传体记忆提取的差异","刘晨,陈旭()","2018 Vol. 26 Issue (9)  1590-1599<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01590","自传体记忆是关于个人生活的记忆, 依恋理论为自传体记忆的理解提供重要的理论框架。本文以个体依恋风格的差异为视角, 根据Conway和Pleydell-Pearce’s的自我记忆系统(Self-Memory System)总结出在自传体记忆提取的过程中, 依恋系统具有目标导向、防御排斥和情绪调节的作用。安全型相较于非安全型依恋的个体在自传体记忆提取的数量、具体性、准确性、通达性和情绪强度、情绪唤醒度上具有优势。未来研究可以从依恋系统的激活, 焦虑型、回避型依恋在记忆提取中具体成分的差异, 依恋与不随意自传体记忆提取的关系上来探讨。"
"前瞻记忆意图后效中执行错误的机制","黄欢,刘博,周晨琛,姬鸣()","2018 Vol. 26 Issue (9)  1600-1607<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.0600","前瞻记忆意图后效是指已完成或取消的意图失活失败对当前认知任务造成的干扰。近期研究采用前瞻记忆任务范式探究意图后效的影响因素及认知机制。自发提取-抑制失败和预备性监控两种认知机制的分歧在于提取旧意图是否依赖注意资源的参与。脑成像研究也证实意图提取存在两条神经通路：自发提取通路和预备性监控提取通路。未来研究应探索兼容有意遗忘失败、旧意图再提取、抑制失败三者的研究范式以及降低执行错误的有效措施。"
"工作记忆表征对视觉注意的影响：基于非目标模板的视角",NA,"2018 Vol. 26 Issue (9)  1608-1616<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01608","
															通讯作者:
																高湘萍<U+00A0><U+00A0><U+00A0>
																																<U+00A0>E-mail: gaoxp@shnu.edu.cn
															    													     		"
"场景知觉过程中的动作意图识别","康廷虎(),薛西","2018 Vol. 26 Issue (9)  1617-1623<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01617","场景即我们生活于其中的真实环境, 社会场景是其重要组成部分。在社会场景知觉的研究中, 动作意图的识别既受场景背景信息的影响, 也与动作的客观对象有关。因此, 研究者可以根据背景-刺激物、刺激物-刺激物关系, 探索动作识别的影响机制; 另一方面, 也可以根据场景的语义约束和物理限制, 依据合理动作原则及其伴随的生理指标检测并识别动作意图。在机器视觉研究领域, 计算机识别模型为社会场景中动作意图的检测和识别提供了新的视角。在未来的研究中, 研究者需要考虑真实场景中动作意图识别能力的发展、动作意图识别的个体差异和文化差异等问题。"
"自主任务转换中的重构和干扰","蒋浩()","2018 Vol. 26 Issue (9)  1624-1631<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01624","任务转换是研究执行功能的常用范式。任务转换通常伴随着转换代价：执行转换任务比重复任务的反应时更长、错误率更高。转换代价可能反映了任务设置重构(重构理论), 也可能表明任务之间存在干扰(干扰理论)。与任务线索范式相比, 自主任务转换范式更具生态效度, 而且不仅能获得转换代价这个传统结果, 还引入了任务选择比例、任务转换率等新指标, 其结果倾向于支持重构理论。此外, 新近研究指出自主任务转换可能也包含干扰的作用。未来, 应通过进一步改进实验范式等方法, 实现两大理论的融合。"
"经颅电刺激与视功能调控","林博荣1,2,何勍1,2,赵金1,2,杨佳1,2,石迎珍1,2,闫芳芳1,席洁1,黄昌兵1,*()","2018 Vol. 26 Issue (9)  1632-1641<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01632","经颅电刺激(Transcranial Electrical Stimulation, TES)通过电极将特定模式的低强度电流作用于大脑头皮以调控皮层活动, 是一种非侵入、无创的神经刺激方法。根据刺激电流的模式的不同, TES分为经颅直流电刺激(tDCS), 经颅交流电刺激(tACS)和经颅随机电刺激(tRNS)。TES能对视功能诸如光幻视阈值、视野、对比敏感度、视知觉运动等进行一定程度上的调控, 并且能够与传统的视觉知觉学习训练相结合以调控视觉功能。对于不同的视觉功能, 不同的TES参数和模式的调控效果有所不同。"
"反馈负波及其近10年理论解释","李丹阳,李鹏(),李红","2018 Vol. 26 Issue (9)  1642-1650<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01642","个体决策后的反馈对随后的结果监控和行为调整起着至关重要的作用。事件相关脑电位研究发现, 反馈负波(feedback-related negativity, FRN)是与决策后反馈加工过程紧密相关的脑电成分。近10年来关于FRN的理论解释, 在最初经典的强化学习理论和情绪动机假说的基础上又提出了反应-结果的预测模型、奖赏正波理论以及积极情绪启动模型。未来的研究应该立足于大样本, 采用互补的研究手段和多样的分析技术来探讨FRN的心理意义; 同时考虑将FRN作为奖赏加工的脑电指标, 研究社会互动情境下的人类行为。"
"舌尖上的“自虐”——食辣中的心理学问题","傅于玲1,2,邓富民1,*(),杨帅3,徐玖平1","2018 Vol. 26 Issue (9)  1651-1660<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01651","吃辣产生灼痛感, 却成为享乐。纯粹接触效应、良性自虐说等可诠释食辣的原因。食辣与感觉寻求、冒险、奖励敏感度、攻击和易怒的特质和心理状态密切相关。具身隐喻理论认为食辣的心理效应可能具身于身体的生理体验之中。食辣的脑基础涉及脑岛的岛短回和下丘脑, 但尚未发现更高级功能脑区的激活。未来研究可进一步挖掘食辣的心理根源, 深入探究食辣心理效应的具身隐喻机制和脑机制, 并开展食辣心理在感官营销和饮食文化营销领域的应用。"
"早期儿童数学学习与执行功能的关系","康丹1,*(),曾莉2","2018 Vol. 26 Issue (9)  1661-1669<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01661","执行功能是个体对复杂的认知活动的自我调节和以明确目标为导向的活动过程, 对早期儿童的数学学习起着重要的作用。早期儿童数学学习与执行功能呈显著正相关, 执行功能是儿童数学学习的重要认知加工机制。早期儿童执行功能和数学学习之间存在着相互预测的关系, 执行功能可以预测数学成绩, 数学成绩可以预测执行功能。高质量的早期数学教育可能具有发展儿童执行功能和数学能力的双重价值。未来研究可以明确执行功能的界定和统一测量工具, 提供更可靠的证据证明早期儿童执行功能与数学能力的因果关系, 以及进一步探究语言、数学以及执行功能三者之间的关系。"
"老年刻板印象威胁及其研究操纵","潘文静,温芳芳(),佐斌()","2018 Vol. 26 Issue (9)  1670-1679<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01670","随着人口老龄化的不断加剧, 老年刻板印象威胁受到越来越多的关注。不同于种族或民族、性别等刻板印象威胁, 老年刻板印象威胁表现出累积性、共通性与连续性等特征。目前关于老年刻板印象威胁的研究多集中于认知老化尤其是记忆老化上, 关注老年刻板印象威胁对老年司机和老年员工的消极影响。消除与降低老年刻板印象威胁的消极效应可以从认知改变、群体认同、代际接触、老龄自我实现和个性化以及媒体宣传等五个方面来进行。在实验室研究中, 老年刻板印象威胁有外显与内隐两种不同的操纵形式。未来可以从扩展研究领域、细化“年龄”差异、比较整体效应大小和性别差异、侧重积极效应以及加强本土化检验和跨文化比较研究等方面来深化。"
"数字效应对消费者行为的影响及其心理机制","吴莹皓,蒋晶()","2018 Vol. 26 Issue (9)  1680-1688<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01680","经济学理性人假说判定, 个体对同一个事物的认知和需求不会随事物表征方式以及个体信息处理方式的改变而改变。同时, 消费者旨在运用最低成本获得最大收益, 实现经济效用最大化。然而消费者行为领域的学者对此提出了相反的主张。他们指出, 当个体解读刺激物数量化属性时, 不仅会对用不同数字和单位表征的同一数量判断出现偏差, 还会受到数字启动的影响, 对用不同数字表示的同一商品产生不同的需求, 甚至做出违反经济效用最大化的决策, 产生了数字效应。不同的心理机制对数字效应如何导致消费者非理性行为进行了解释。在此基础上, 对数字效应在消费者行为领域的未来研究方向进行了展望。"
"赌博游戏中的near-miss效应","索涛1,**(),杨雁2,范增1,王梦梦1,赵国祥1,*()","2018 Vol. 26 Issue (9)  1689-1699<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01689","near-miss效应是指在赌博中, 与一般的输钱和赢钱相比, “几乎赢(near-miss)”的输钱会诱发个体更高的生理唤醒和更强的赌博动机, 从而导致个体持续赌博的一种现象, 是导致赌博成瘾的主要诱因之一。针对这种现象的研究范式大致有三种：老虎机/类老虎机任务、轮盘任务和刮刮乐彩票任务。这种现象的理论解释目前主要有认知曲解假说、控制幻觉理论和受挫假说。near-miss效应的脑机制和病理研究才刚刚起步, 所涉及到的脑功能区域主要包括脑岛、腹侧纹状体等。未来的研究应在near-miss效应发生机制的理论模型建构、研究范式多样化、研究技术多模态化、病理机制和临床干预等方面进一步展开。"
"从毕生发展的视角看健康的贫富差距","尤瑾1,安蕾2,沈海坤1,朱颖1,李彩娜3,*()","2018 Vol. 26 Issue (9)  1700-1710<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01700","健康的贫富差距是所有个体从出生到死亡都需要面对的现实, 也是全球所有国家都存在的社会问题。目前已经有相当的理论和实证研究尝试从毕生发展的视角理解健康的贫富差距。在毕生发展研究中, 健康的贫富差距有其独特的概念和测量方式。该领域重要的理论包括累积优(劣)势假设、累积不公平模型和社会阶层文化周期模型。研究者就儿童期、青少年期、成年期和老年期的健康贫富差距开展了大量的实证研究。未来毕生发展研究和实践的可能方向包括早年和当前社会经济地位的交互作用、社会经济地位的稳定特征和情境效应、跨领域实践干预等。毕生发展视角的健康贫富差距研究有助于理解健康贫富差距的发展根源和形成过程, 是促进国民健康和开展健康公平实践工作的理论基础。"
"多元企业认同的身份构建及其张力调和机理","李纯青1,2(),吕俊峰2,马宝龙2,3,曹丽2,谭乐1","2018 Vol. 26 Issue (8)  1331-1348<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01331","基于认同驱动的营销关系视角, 系统地探讨了基于多元企业认同的企业身份构建及其张力调和机理。具体地, 通过定性和定量相结合的方法, 首先基于社会认同理论和身份理论, 探索多元企业认同的结构; 其次, 从社会心理学和文化创新的视角, 描绘多元企业认同形成及演化过程; 最后, 探究多元企业认同的身份构建以及身份张力调和机制。在理论上将消费者-企业认同扩展到多个利益相关者与企业的认同, 探索多元企业认同的身份构建及调和过程, 揭示其背后深层作用机理。实践上为企业与客户保持长期、和谐、多赢关系提供重要依据。"
"利用时频分析研究非相位锁定脑电活动","武侠1,钟楚鹏1,丁玉珑1,曲折1()","2018 Vol. 26 Issue (8)  1349-1364<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.1349","时频分析技术自20世纪80年代被引入到心理学脑电数据分析领域以来, 克服了传统的时域ERP方法只能分析相位锁定成分的缺陷, 可以帮助研究者挖掘到脑电信号中非相位锁定的成分。在心理学领域, 应用最多的时频分析方法是小波变换和Hilbert变换, 而能量、相位一致性和耦合是三个最常用的分析指标。研究者利用不同的分析指标来揭示不同的心智过程。不同频段的能量被认为体现了不同的认知过程, 如α能量被发现与注意选择性有关, 而γ能量则与特征整合相关。相位一致性常被用于讨论ERP产生的机制。耦合则通常说明了长距离脑区之间的信息交流以及高级脑区对低级脑区的认知控制, 在完成各种复杂认知任务的时候会表现出不同的耦合模式。"
"一种新决策模型——量子决策模型","辛潇洋,徐晨虹,陈宏玉,李瑛()","2018 Vol. 26 Issue (8)  1365-1373<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01365","近10年以来, 一些学者基于量子理论研究思想与方法探索出了量子决策模型。由于该模型独特的理论结构, 它可被用于解释传统决策理论所难以解释的问题, 尤其是个体在不确定情况下的决策行为。该模型解释了诸如分离效应、分类决策的干涉效应以及合取谬误等传统决策模型很难解释的问题, 研究者已经证实其中一种称为量子问题等式的决策模型可以精确地预测决策中的顺序效应。作为一个有助于分析心理学中决策现象的新研究领域, 量子决策模型具有深入研究的理论意义和实践意义。"
"回溯式时距估计的计时机制","杨莲莲,黄希庭(),岳童,刘培朵","2018 Vol. 26 Issue (8)  1374-1382<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01374","回溯式时距估计是以记忆为主要成分, 且事后才知要对两个相继事件之间的间隔时间或某一事件持续时间的长短进行估计。可分为近时和远时的回溯式时距估计, 两者的计时机制与记忆有关, 但各有侧重：前者侧重短时或长时记忆, 直接证据来源于即时回忆单一或多个认知任务以估计时间, 间接证据则聚焦于物理、生理、心理因素的影响; 后者侧重自传体记忆, 可从问卷或访谈的测量方式以及主客体特征的影响两个方面来寻找证据。今后需以整合的观点深入探究回溯式时距估计的计时机制, 拓展回溯式时距估计行为测量的研究, 并开展对回溯式时距估计神经生物学基础的探讨。"
"空间存在：虚拟环境中何以产生身临其境之感?","王素娟1,张雅明2()","2018 Vol. 26 Issue (8)  1383-1390<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01383","空间存在是个体全神贯注地沉浸在虚拟环境中时产生的身临其境的主观体验/感觉, 包括自我定位与知觉到在虚拟媒介环境中的可能行为两个维度。与我们在真实环境中的体验相似又不同, 属于具身认知的范畴。当前对空间存在问题的研究可分为理论建构与实证检验研究两类。前者主要是采用演绎推理方式, 探究空间存在的产生过程、决定因素与影响因素; 后者主要采用实验研究, 对空间存在进行测量,通过实证研究考察各种影响因素的作用, 并检验在不同虚拟环境中的效果。未来需整合两类研究, 把理论模型应用于媒介心理学基础性与应用性问题上, 以促使这一领域研究不断深入。此外, 空间存在的神经机制、实际应用的价值与效果也需要做进一步的深入探索。"
"基于知觉的恐惧泛化的认知神经机制","雷怡1,2,3(),梅颖1,2,3,张文海4,李红1,2,3","2018 Vol. 26 Issue (8)  1391-1403<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01391","恐惧泛化是条件性恐惧反应转移到另一个相似但安全的刺激的现象。适当的恐惧泛化对人类有积极意义, 而过度的恐惧泛化则不利于个体有效地适应环境。基于知觉的恐惧泛化研究揭示了恐惧泛化的规律, 因而被广泛应用。本文首先梳理了对知觉恐惧泛化的相关研究, 介绍恐惧泛化的经典理论基础—巴普洛夫条件反射以及恐惧泛化梯度; 其次简要回顾基于多个感觉通道(即视觉、听觉、情景)的知觉恐惧泛化研究现状; 再次, 分别对海马、杏仁核、脑岛和前额叶等脑区在恐惧泛化中的作用进行回顾, 进一步总结出恐惧泛化的神经环路结构模型。最后, 简要区分了基于知觉的恐惧泛化和正在兴起的基于概念的恐惧泛化, 进而指出未来研究需要结合基于概念的恐惧泛化、区分被试对刺激的辨别力、增加恐惧刺激材料的准确性及多样化、结合激素等个体差异和多模态脑成像数据来展开。"
"注意引导和认知加工：眼动榜样样例的教学作用","谢和平,彭霁,周宗奎()","2018 Vol. 26 Issue (8)  1404-1416<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01404","认知如何影响眼动一直以来得到研究者高度重视, 而近年来研究者开始通过眼动榜样样例反过来直接考察眼动如何影响认知。作为一种新颖的教学样例, 眼动榜样样例能够有效引导注意, 即促进信息的选择、组织和整合加工, 并提高眼动轨迹一致性, 但并没有稳定地促进教学效果。研究者从信息缩减假说、多媒体学习认知理论、认知学徒制理论等视角进行了积极的理论预期和解释。未来研究需从边界条件、作用机制、眼动轨迹预训练、专长发展、合作学习及神经基础等角度进一步考察眼动榜样样例的教学作用。"
"啮齿动物主动母性行为动态改变的神经机制","张一帆1,齐星亮2,蔡厚德1,2()","2018 Vol. 26 Issue (8)  1417-1428<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01417","主动母性行为是雌性哺乳动物在哺乳期内有效照料幼崽的一种动机行为, 对幼崽的生存和行为发展有重要影响。证据显示, 啮齿动物的主动母性行为会经历从产后早期的发动和维持到晚期衰退的动态改变, 反映了雌鼠对幼崽奖赏价值阶段性变化的适应; 这一过程不仅涉及分娩激素事件开启下丘脑内侧视前区(MPOA)-中脑腹侧被盖(VTA)-伏隔核(NA)-腹侧苍白球(VP)通路, 还需要杏仁核基底外侧核(BLA)和内侧前额皮层(MPFC)等脑区对上述通路进行实时调节。哺乳期主动母性行为动态改变及其神经机制的研究, 可以加深对行为进化和早期发展的认识, 也对人类母亲产后抑郁等临床问题的干预有借鉴意义。本文首先利用条件化位置偏好(CPP)任务的行为学证据分析幼崽奖赏价值与主动母性行为动态改变的关系; 然后系统阐述调控这一动态改变的神经机制; 最后对未来需要研究的一些重要问题或方向进行探讨。"
"COMT基因Val158Met多态性与抑郁的关系","刘迪迪,王美萍(),陈翩,张文新","2018 Vol. 26 Issue (8)  1429-1437<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01429","抑郁的发生具有重要的遗传学基础。COMT基因Val158Met多态性是抑郁的重要候选基因位点。目前有关COMT基因Val158Met多态性与抑郁关系的研究主要采用单基因设计、单基因-环境设计以及多基因-环境设计。有资料显示负性情绪偏向及其相关脑区可能在COMT基因Val158Met多态性与抑郁间起中介作用, 但具体机制仍有待探究。未来研究可以进一步考察被试的种族、年龄和性别等因素对COMT基因Val158Met多态性与抑郁关系的调节作用, 并通过采用多基因-环境设计, 综合运用积极与消极环境指标等措施深入考察负性情绪偏向和相关脑区在COMT基因Val158Met多态性与抑郁间的作用及其机制。"
"催产素对社会决策行为的影响","张旭凯1,尹航1,李鹏2,李红1,2()","2018 Vol. 26 Issue (8)  1438-1449<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01438","大量的研究已经证明催产素对人类社会决策起着重要的调节作用。以往研究者采用多种实验范式用于探讨催产素对社会决策的影响, 研究内容主要包括合作与保护行为、道德行为、信任行为和慷慨行为。研究者已提出三种关于催产素的可能的作用机制用来解释观察到的实验结果, 三种理论各有侧重。未来的研究中应关注鼻喷催产素和受体基因多态性等生理机制、并考虑催产素影响社会决策行为的性别差异、建立更完善并可供检验的理论模型。"
"自闭症谱系障碍者抑制控制的影响因素及神经机制","孙岩1(),房林1,王亭予1,崔丽2","2018 Vol. 26 Issue (8)  1450-1464<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01450","自闭症谱系障碍(ASD)是一种起源于儿童期的神经发育障碍, ASD的重复刻板行为与其抑制控制发展有密切关系。使用Go/No-go、Flanker及Stroop等范式的研究发现, ASD者抑制控制受损主要表现为反应抑制和干扰抑制能力存在缺陷; 其主要影响因素是任务状态、被试年龄及取样; 涉及的脑区和脑网络集中在前额皮层、前扣带回和基底神经节; 涉及的基因集中在谷氨酸盐、γ-氨基丁酸与5-羟色胺三种神经递质。未来应从脑机制研究入手, 综合考虑任务状态、个体特征对研究结果造成的影响, 并着力开发更有效的干预模式。"
"自闭症儿童能否痊愈?——来自谱系个体“最佳结果”及剩余缺陷研究的证据分析","林云强1(),朱慧敏1,连福鑫2","2018 Vol. 26 Issue (8)  1465-1474<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01465","自闭症谱系障碍预后效果不佳, 通常被认为是一种伴随终生的疾病。不过随着研究的拓展和深入, 部分早期被诊断为自闭症的儿童, 随着年龄增长和相关干预措施的介入, 其认知、适应性等方面均可达到正常发展水平, 并且不再符合自闭症的诊断标准, 即达到了“最佳结果”。但多数个体仍然存在不同程度的剩余缺陷。本文以自闭症预后结果评定和“最佳结果”定义演变为切入点, 分析“最佳结果”个体剩余缺陷的具体表现, 并梳理此类群体的个体特征与结果预测因素, 以期能为自闭症个体的系统干预提供有效依据。"
"适应负荷：社会经济地位影响健康的生理机制","杨洋1,孙铃1,张红川1(),黄四林2,朱晓1","2018 Vol. 26 Issue (8)  1475-1487<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01475","低社会经济地位的个体会经历更多的生活压力, 并有更少的应对资源, 因此其健康状况面临更大的威胁。这些压力可能自胎儿期就存在, 对健康产生累积性影响。社会经济地位低所带来的压力对生理的影响可以用适应负荷来衡量。适应负荷反映了压力状态下个体多个生理系统的综合变化, 这些生理改变的累积对个体身体和心理健康会产生长期的重要影响。适应负荷理论为理解社会经济地位对健康的影响提供了有益的解释。同时, 社会经济地位对适应负荷的影响受到环境压力、社会支持、个人特质以及生活方式等因素的调节。未来的研究应该结合我国的社会文化背景, 探讨社会环境压力与适应负荷及健康后果之间的关系, 并探索保护机制, 为促进处境不利社会群体的健康提供理论依据。"
"无边界职业生涯下职业成功的诱因与机制","王婷,杨付()","2018 Vol. 26 Issue (8)  1488-1500<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01488","职业成功(career success)作为职业生涯研究领域的一个前沿主题, 受到了理论界和实务界的广泛关注。研究主要从职业成功的概念、测量、影响因素、实施效果与作用机制等方面, 对国内外相关研究进行了系统梳理与探讨。未来研究应关注无边界职业生涯时代职业成功、开发中国组织情境下职业成功的概念和测量、基于特质激发理论视角分析职业成功的诱因、基于职业成功观分析职业成功的实施效果、探讨中国本土文化的权变作用。"
"工作重塑干预：对员工工作自主性的培养","徐长江(),陈实","2018 Vol. 26 Issue (8)  1501-1510<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.001501","工作重塑理论强调员工自发主动、自下而上地对自己的工作进行重新塑造, 而如何对员工的工作重塑进行干预成为了当前学术界的热点。目前的干预研究中, 干预内容主要包括激发员工的重塑动机、帮助员工形成良好的重塑认知与培养员工的重塑行为三个方面。它们彼此紧密联系, 研究者可以选择对某一方面进行干预或对全部的三个方面进行干预。工作重塑的干预一般可以采用理论学习、计划制定与独立工作、反馈讨论这一操作流程来加以实施。未来的研究需要继续探讨工作重塑的概念、结构与相应测量工具, 为干预研究提供支撑, 同时丰富干预研究的种类, 完善干预研究的技术, 并尝试运用现代科技资源, 推动干预研究的现代化。"
"多元文化经历促进创造力","黄林洁琼1,2,刘慧瀛3,安蕾4,刘亚楠3(),张舒3,金彩玉5","2018 Vol. 26 Issue (8)  1511-1520<U+00A0><U+00A0><U+00A0><U+00A0>DOI: 10.3724/SP.J.1042.2018.01511","大量实证研究支持了多元文化经历促进创造力这一假设。深度参与两种不一致的文化活动是多元文化经历提升创造力的前提条件; 在融合过程中, 双重认同者获得的交替、整合和包含等认知技能, 促进了个体的创造性表现。未来可以采用更具多样性的样本以扩展研究的外部效度, 考察认知评价、趋近动机、积极情绪的中介作用, 并加强国内对此领域的研究。"
